variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200810T0600,19.5608,1004.4,1.1,100,0,19.58,2.6372256,44.999985
20200810T0700,20.2808,1004.6,0.3,100,0,70.31,1.9210378,56.30993
20200810T0800,21.5108,1005,0.1,100,0,154.86,1.8837326,81.869896
20200810T0900,22.8108,1004.9,0,100,0,265.22,2.1967907,104.03624
20200810T1000,23.9908,1003.8,0.1,100,0,370.24,2.2916594,125.537674
20200810T1100,23.5608,1003.5,1.2,100,0,183.34,1.6204481,170.53767
20200810T1200,23.6308,1003.1,2.3,100,0,228.73,1.7057923,218.65982
20200810T1300,23.170801,1003.3,2,100,0,155.75,2.382754,243.43495
20200810T1400,22.4608,1003.1,0.2,100,0,125.49,1.9210378,213.69006
20200810T1500,22.6308,1002.4,0,100,0,164.65,2.3976,180
20200810T1600,22.4308,1002.5,0,100,0,115.7,2.3976,180
20200810T1700,23.6408,1003,0,100,0,126.38,1.5984001,270
20200810T1800,23.0308,1003.5,0,100,0,36.489998,0.5328,270
20200810T1900,22.3108,1004,0,54,0.9787234,0,0.2664,180
20200810T2000,22.0208,1004.6,0,100,0,0,0.3767465,225
20200810T2100,21.6408,1005.1,0,100,0,0,1.0656,270
20200810T2200,21.000801,1005,0,100,0,0,2.0806506,309.80557
20200810T2300,20.9108,1004.7,0,100,0,0,2.5132127,327.99463
20200811T0000,20.8908,1004.4,0.1,100,0,0,2.382754,333.43497
20200811T0100,20.7708,1004,0.7,100,0,0,2.1967907,345.96375
20200811T0200,20.5908,1003.4,0.8,100,0,0,1.9394212,344.0546
20200811T0300,20.4508,1002.8,0.3,100,0,0,1.7057923,321.3402
20200811T0400,20.3408,1002.8,0.1,100,0,0,2.9784427,296.56506
20200811T0500,20.2608,1002.8,0.1,100,0,0,3.4632,292.61987
20200811T0600,20.4108,1002.9,0,100,0,33.82,2.9784424,280.30487
20200811T0700,21.330801,1002.8,0,100,0,173.55,2.9304,270
20200811T0800,22.7208,1003.1,0,100,0,343.54,4.075136,258.69006
20200811T0900,23.4808,1003.2,0,100,0,426.31,5.2339296,255.25644
20200811T1000,23.6108,1002.6,0,100,0,441.44,5.124306,242.10274
20200811T1100,25.330801,1002.1,0,100,0,578.5,5.089565,222.8789
20200811T1200,26.5208,1001.5,0,68,16.595745,821.47,4.13564,194.93143
20200811T1300,26.8808,1001.2,0,100,0,753.83,3.2408962,189.46233
20200811T1400,24.7808,1001.2,0,100,0,334.63998,3.3379824,208.61046
20200811T1500,23.8008,1001.2,0,100,0,144.18,2.8815567,213.69006
20200811T1600,23.420801,1001.3,0,100,0,145.06999,2.8692157,201.8014
20200811T1700,23.580801,1002.3,0,100,0,88.11,3.8788424,254.0546
20200811T1800,22.6508,1002.9,0,100,0,72.979996,2.2916594,234.46233
20200811T1900,22.2008,1003.9,0,100,0,0,1.7057923,218.65982
20200811T2000,21.8208,1004.8,0,100,0,0,1.332,233.1301
20200811T2100,21.7008,1005.3,0,100,0,0,1.3583788,281.30994
20200811T2200,21.3408,1005,0,100,0,0,2.6372256,315
20200811T2300,20.9308,1004.7,0,100,0,0,3.8142672,335.22485
20200812T0000,20.6008,1004.3,0,100,0,0,4.13564,345.0686
20200812T0100,20.3708,1003.8,0,100,0,0,3.700947,329.7436
20200812T0200,19.9808,1003.1,0,100,0,0,2.2916594,305.5377
20200812T0300,19.9808,1002.5,0,100,0,0,0.5956885,333.43497
20200812T0400,20.5508,1002.3,0,100,0,0,1.3583788,78.69006
20200812T0500,20.9308,1002.4,0,100,0,0,1.8837326,98.1301
20200812T0600,22.3608,1002.4,0,100,0,75.65,1.191377,116.56505
20200812T0700,23.9108,1002.6,0,29,41.48936,307.94,2.028842,156.8014
20200812T0800,25.250801,1003,0,19,47.872337,497.50998,3.3697233,161.56505
20200812T0900,25.9908,1002.9,0,13,51.70213,404.06,3.6234312,162.89728
20200812T1000,25.6308,1002.3,0,20,47.234047,543.79,3.2408962,170.53767
20200812T1100,27.080801,1001.9,0,15,50.425533,716.45,3.7391024,175.91438
20200812T1200,25.5208,1002.3,0,100,0,277.68,4.72062,163.61046
20200812T1300,25.2408,1002.3,0,50,28.085108,207.37,4.802594,160.55997
